Capital,Size,Latitude,Longitude
Montgomery,198,32.3792,-86.3077
Juneau,32,58.3005,-134.4201
Phoenix,1624,33.4484,-112.074
Little Rock,202,34.7445,-92.288
Sacramento,525,38.5816,-121.4944
Denver,711,39.7392,-104.9903
Hatford,120,41.7658,-72.6734
Dover,39,39.1582,-75.5244
Tallahassee,196,30.4382,-84.2806
Atlanta,499,33.7488,-84.3877
Honolulu,351,21.3099,-157.8581
Boise,236,43.615,-116.2023
Springfield,114,39.7817,-89.6501
Indianapolis,888,39.7684,-86.1581
Des Moines,214,41.5868,-93.625
Topeka,127,39.0473,-95.6752
Frankfort,29,38.2009,-84.8733
Baton Rouge,227,30.4515,-91.1871
Augusta,19,44.3106,-69.7795
Annapolis,41,38.9784,-76.4922
Boston,676,42.3601,-71.0589
Lansing,113,42.7325,-84.5555
Saint Paul,312,44.9537,-93.09
Jackson,154,32.2988,-90.1848
Jefferson City,43,38.5767,-92.1735
Helena,32,46.5891,-112.0391
Lincoln,291,40.8136,-96.7026
Carson City,59,39.1638,-119.7674
Concord,44,43.2081,-71.5376
Trenton,91,40.2206,-74.7597
Santa Fe,88,35.687,-105.9378
Albany,99,42.6526,-73.7562
Raleigh,468,35.7796,-78.6382
Bismarck,74,46.8055,-100.7877
Columbus,906,39.9612,-82.9988
Oklahoma City,681,35.4676,-97.5164
Salem,176,44.9429,-123.0351
Harrisburg,50,40.2732,-76.8867
Providence,191,41.824,-71.4128
Pierre,14,44.3668,-100.3538
Nashville,689,36.1627,-86.7816
Austin,962,30.2672,-97.7431
Salt Lake City,200,40.7608,-111.891
Montpelier,8,44.2601,-72.5754
Richmond,227,37.5407,-77.436
Olympia,56,47.0379,-122.9007
Charleston,49,32.7765,-79.9311
Madison,270,43.0722,-89.4008
Cheyenne,65,41.14,-104.8202
